,date,time,open,high,low,close,jdiff_vol,value,jongchk,rate,sign
390,20240102,133200,10120,10120,10110,10120,913,9,0,0,5
391,20240102,133300,10120,10120,10110,10110,821,8,0,0,5
392,20240102,133400,10110,10120,10110,10120,661,7,0,0,5
393,20240102,133500,10120,10120,10110,10110,165,2,0,0,5
394,20240102,133600,10110,10120,10110,10110,561,6,0,0,5
395,20240102,133700,10110,10110,10100,10100,597,6,0,0,5
396,20240102,133800,10100,10110,10100,10110,743,8,0,0,5
397,20240102,133900,10100,10110,10100,10100,662,7,0,0,5
398,20240102,134000,10100,10110,10100,10110,941,10,0,0,5
399,20240102,134100,10100,10110,10100,10100,239,2,0,0,5
400,20240102,134200,10100,10110,10100,10100,462,5,0,0,5
401,20240102,134300,10100,10110,10100,10100,927,9,0,0,5
402,20240102,134400,10100,10110,10100,10110,1099,11,0,0,5
403,20240102,134500,10110,10130,10110,10110,1421,14,0,0,5
404,20240102,134600,10110,10120,10110,10120,292,3,0,0,5
405,20240102,134700,10120,10120,10110,10110,785,8,0,0,5
406,20240102,134800,10110,10130,10110,10120,249,3,0,0,5
407,20240102,134900,10120,10130,10120,10120,656,7,0,0,5
408,20240102,135000,10120,10130,10120,10120,415,4,0,0,5
409,20240102,135100,10120,10130,10110,10110,938,9,0,0,5
410,20240102,135200,10110,10120,10110,10110,323,3,0,0,5
411,20240102,135300,10120,10120,10110,10120,1446,15,0,0,5
412,20240102,135400,10120,10120,10110,10110,181,2,0,0,5
413,20240102,135500,10110,10120,10110,10110,483,5,0,0,5
414,20240102,135600,10110,10120,10110,10120,368,4,0,0,5
415,20240102,135700,10120,10120,10110,10110,3695,37,0,0,5
416,20240102,135800,10110,10120,10100,10100,647,7,0,0,5
417,20240102,135900,10120,10120,10110,10110,566,6,0,0,5
418,20240102,140000,10110,10120,10110,10110,549,6,0,0,5
419,20240102,140100,10110,10130,10110,10130,2208,22,0,0,5
420,20240102,140200,10120,10130,10110,10120,1531,16,0,0,5
421,20240102,140300,10120,10140,10120,10130,989,10,0,0,5
422,20240102,140400,10130,10140,10130,10140,512,5,0,0,5
423,20240102,140500,10130,10140,10130,10130,414,4,0,0,5
424,20240102,140600,10130,10140,10130,10130,899,9,0,0,5
425,20240102,140700,10130,10140,10130,10130,768,8,0,0,5
426,20240102,140800,10130,10140,10130,10140,1806,18,0,0,5
427,20240102,140900,10150,10150,10140,10140,2881,29,0,0,5
